,scene_breaks,has_caps,has_summ,soap_central,soapcentral_condensed,tvmega_recap,tvdb,n_scenes,n_lines,n_chars,n_chars_per_scene,duration_raw,duration,split,usable
atwt-01-07-09,explicit,True,True,True,True,True,False,27,420,17,46.074074074074076,3535.841814,58m 55.84s,train,True
atwt-01-07-10,explicit,True,True,True,True,True,False,28,467,15,44.5,3536.608073,58m 56.61s,train,True
atwt-01-08-03,implicit,True,True,True,True,False,True,17,342,18,47.8235294117647,3406.785306,56m 46.79s,train,True
atwt-01-08-04,explicit,True,True,True,True,True,False,28,330,20,44.714285714285715,3329.323537,55m 29.32s,train,True
atwt-01-08-07,explicit,True,True,True,True,True,False,23,347,22,44.73913043478261,3534.913016,58m 54.91s,train,True
atwt-01-08-08,explicit,True,True,True,True,True,False,30,450,21,45.166666666666664,3534.936236,58m 54.94s,train,True
atwt-01-08-10,explicit,True,True,True,True,True,False,24,498,12,47.0,3533.891338,58m 53.89s,train,True
atwt-01-09-03,implicit,True,True,True,True,False,True,24,324,14,45.333333333333336,3316.041723,55m 16.04s,train,True
atwt-01-09-06,explicit,True,True,True,True,True,True,27,385,19,43.7037037037037,3534.448617,58m 54.45s,test,True
atwt-01-09-07,explicit,True,True,True,True,True,True,20,490,16,47.4,3535.005896,58m 55.01s,test,True
atwt-01-09-08,explicit,True,True,True,True,True,False,31,460,24,44.96774193548387,3534.982676,58m 54.98s,train,True
atwt-01-09-09,explicit,True,True,True,True,True,False,28,477,18,45.25,3474.517914,57m 54.52s,train,True
atwt-01-10-03,implicit,True,True,True,True,False,True,19,356,12,47.0,3314.184127,55m 14.18s,train,True
atwt-01-10-05,explicit,True,True,True,True,True,True,28,351,18,44.642857142857146,3329.764717,55m 29.76s,test,True
atwt-01-10-06,explicit,True,True,True,True,True,True,31,420,20,46.32258064516129,3534.495057,58m 54.50s,test,True
atwt-01-10-07,explicit,True,True,True,True,True,False,27,414,16,44.03703703703704,3534.448617,58m 54.45s,train,True
atwt-01-10-08,explicit,True,True,True,True,True,False,38,405,16,42.55263157894737,3534.495057,58m 54.50s,train,True
atwt-01-11-05,explicit,True,True,True,True,True,True,27,452,18,44.96296296296296,3325.747664,55m 25.75s,test,True
atwt-01-11-06,explicit,True,True,True,True,True,False,24,466,21,45.875,3533.960998,58m 53.96s,train,True
atwt-01-11-07,explicit,True,True,True,True,True,True,23,468,21,47.69565217391305,3534.448617,58m 54.45s,test,True
atwt-01-11-08,explicit,True,True,True,True,True,False,29,392,18,44.48275862068966,3534.471837,58m 54.47s,train,True
atwt-01-11-10,explicit,True,True,True,True,True,False,25,540,15,47.72,3533.844898,58m 53.84s,train,True
atwt-01-12-04,explicit,True,True,True,True,True,False,28,401,32,45.785714285714285,3289.338776,54m 49.34s,train,True
atwt-01-12-05,explicit,True,True,True,True,True,True,31,437,21,45.064516129032256,3326.722902,55m 26.72s,test,True
atwt-01-12-06,explicit,True,True,True,True,True,False,22,417,16,45.40909090909091,3534.959456,58m 54.96s,test,True
atwt-01-12-07,explicit,True,True,True,True,True,True,25,375,19,46.6,3534.425397,58m 54.43s,test,True
atwt-01-12-09,explicit,True,True,True,True,True,False,34,393,17,43.0,3474.471474,57m 54.47s,train,True
atwt-01-12-10,explicit,True,True,True,True,True,False,26,462,19,47.30769230769231,3530.594104,58m 50.59s,train,True
atwt-01-13-03,implicit,True,True,True,True,False,True,23,351,16,48.34782608695652,3316.041723,55m 16.04s,train,True
atwt-01-13-04,explicit,False,True,True,True,True,False,25,305,21,44.8,3329.834376,55m 29.83s,nelly-excluded,False
atwt-01-13-05,explicit,True,True,True,True,True,True,25,403,21,45.2,3326.722902,55m 26.72s,test,True
atwt-01-13-06,explicit,True,True,True,True,True,False,26,346,21,44.76923076923077,2333.791202,38m 53.79s,train,True
atwt-01-13-09,explicit,True,True,True,True,True,False,27,594,20,47.7037037037037,3476.979229,57m 56.98s,train,True
atwt-01-13-10,explicit,True,True,True,True,True,False,23,527,20,48.65217391304348,3534.402177,58m 54.40s,train,True
atwt-01-14-03,implicit,True,True,True,True,False,True,20,402,13,49.5,3313.580408,55m 13.58s,train,True
atwt-01-14-04,explicit,True,True,True,True,True,False,22,308,17,43.90909090909091,3320.360635,55m 20.36s,train,True
atwt-01-14-05,explicit,True,True,True,True,True,True,27,318,15,43.2962962962963,3287.225760,54m 47.23s,test,True
atwt-01-14-08,explicit,True,True,True,True,True,False,33,368,18,42.93939393939394,3535.981134,58m 55.98s,train,True
atwt-01-14-09,explicit,True,True,True,True,True,False,30,500,18,45.63333333333333,3533.403719,58m 53.40s,train,True
atwt-01-14-10,explicit,True,True,True,True,True,False,21,554,16,49.333333333333336,3533.844898,58m 53.84s,train,True
atwt-01-15-03,implicit,True,True,True,True,False,True,21,354,15,47.19047619047619,3316.552562,55m 16.55s,train,True
atwt-01-15-04,explicit,False,True,True,True,True,False,23,399,31,48.52173913043478,3328.905578,55m 28.91s,nelly-excluded,False
atwt-01-15-07,explicit,True,True,True,True,True,False,31,378,26,46.193548387096776,3534.448617,58m 54.45s,train,True
atwt-01-15-08,explicit,True,True,True,True,True,False,25,282,14,43.36,3535.493515,58m 55.49s,train,True
atwt-01-15-09,explicit,False,True,True,True,True,False,26,581,14,46.23076923076923,3533.844898,58m 53.84s,nelly-excluded,False
atwt-01-15-10,explicit,False,True,True,True,True,False,28,378,16,43.392857142857146,3533.891338,58m 53.89s,nelly-excluded,False
atwt-01-16-03,implicit,True,True,True,True,False,True,22,391,15,46.54545454545455,3314.091247,55m 14.09s,train,True
atwt-01-16-04,explicit,True,True,True,True,True,False,29,377,25,44.3448275862069,3333.758549,55m 33.76s,train,True
atwt-01-16-06,explicit,True,True,True,True,True,True,35,438,20,43.17142857142857,3533.496599,58m 53.50s,test,True
atwt-01-16-07,explicit,True,True,True,True,True,True,2,400,18,61.0,3534.448617,58m 54.45s,test,True
atwt-01-16-08,explicit,True,True,True,True,True,False,43,375,16,40.372093023255815,3534.030658,58m 54.03s,train,True
atwt-01-16-09,explicit,True,True,True,True,True,False,24,485,12,47.375,3533.891338,58m 53.89s,train,True
atwt-01-17-03,implicit,False,True,True,True,False,True,23,379,18,46.82608695652174,3337.682721,55m 37.68s,nelly-excluded,False
atwt-01-17-05,explicit,True,True,True,True,True,True,29,346,19,44.48275862068966,3327.303401,55m 27.30s,test,True
atwt-01-17-06,explicit,False,True,True,True,True,True,29,397,15,44.96551724137931,3534.959456,58m 54.96s,nelly-excluded,False
atwt-01-17-07,explicit,True,True,True,True,True,True,25,428,20,43.88,3534.448617,58m 54.45s,test,True
atwt-01-17-08,explicit,True,True,True,True,True,False,35,408,18,41.94285714285714,3533.519819,58m 53.52s,train,True
atwt-01-18-05,explicit,True,True,True,True,True,True,14,215,22,46.214285714285715,3287.736599,54m 47.74s,test,True
atwt-01-18-06,explicit,True,True,True,True,True,True,26,433,19,45.5,3534.959456,58m 54.96s,test,True
atwt-01-18-07,explicit,True,True,True,True,True,False,37,466,25,43.054054054054056,3534.471837,58m 54.47s,train,True
atwt-01-18-08,explicit,True,True,True,True,True,False,40,392,26,40.975,3534.959456,58m 54.96s,train,True
atwt-01-18-10,explicit,True,True,True,True,True,False,19,457,16,47.63157894736842,3533.914558,58m 53.91s,train,True
atwt-01-19-04,explicit,True,True,True,True,True,False,28,350,24,44.142857142857146,3338.216780,55m 38.22s,train,True
atwt-01-19-05,explicit,True,True,True,True,True,True,25,396,21,45.28,3328.766259,55m 28.77s,test,True
atwt-01-19-06,explicit,True,True,True,True,True,False,32,386,17,44.6875,3534.471837,58m 54.47s,train,True
atwt-01-19-09,explicit,True,True,True,True,True,False,28,464,12,45.535714285714285,3534.866576,58m 54.87s,test,True
atwt-01-19-10,explicit,True,True,True,True,True,False,21,498,15,50.142857142857146,3533.868118,58m 53.87s,train,True
atwt-01-20-03,explicit,True,True,True,True,True,True,24,408,16,47.208333333333336,3373.720091,56m 13.72s,test,True
atwt-01-20-04,explicit,False,True,True,True,True,True,30,332,31,44.8,3338.727619,55m 38.73s,nelly-excluded,False
atwt-01-20-06,explicit,True,True,True,True,True,False,31,439,24,42.935483870967744,3534.959456,58m 54.96s,train,True
atwt-01-20-10,explicit,False,True,True,True,True,False,25,493,21,45.36,3533.821678,58m 53.82s,nelly-excluded,False
atwt-01-21-03,explicit,True,True,True,True,True,True,24,457,14,47.666666666666664,3405.856508,56m 45.86s,test,True
atwt-01-21-04,explicit,True,True,True,True,True,True,32,379,24,44.53125,3338.750839,55m 38.75s,test,True
atwt-01-21-05,explicit,True,True,True,True,True,True,32,366,19,41.96875,3327.721361,55m 27.72s,test,True
atwt-01-21-08,explicit,True,True,True,True,True,False,44,391,20,39.22727272727273,3535.911474,58m 55.91s,train,True
atwt-01-21-09,explicit,True,True,True,True,True,False,25,481,18,46.44,3534.425397,58m 54.43s,test,True
atwt-01-21-10,explicit,True,True,True,True,True,False,25,430,13,45.36,3532.869660,58m 52.87s,train,True
atwt-01-22-03,implicit,True,True,True,True,False,True,27,340,18,44.22222222222222,3340.701315,55m 40.70s,train,True
atwt-01-22-07,explicit,True,True,True,True,True,True,27,524,19,46.851851851851855,3534.982676,58m 54.98s,test,True
atwt-01-22-08,explicit,False,True,True,True,True,False,34,462,21,44.5,3534.913016,58m 54.91s,nelly-excluded,False
atwt-01-22-09,explicit,True,True,True,True,True,False,29,510,15,45.48275862068966,3534.936236,58m 54.94s,test,True
atwt-01-22-10,explicit,True,True,True,True,True,False,26,373,14,44.65384615384615,3533.357279,58m 53.36s,train,True
atwt-01-23-03,implicit,True,True,True,True,False,True,26,362,15,44.76923076923077,3377.342404,56m 17.34s,train,True
atwt-01-23-04,explicit,False,True,True,True,True,True,24,318,22,44.125,3293.704127,54m 53.70s,nelly-excluded,False
atwt-01-23-06,explicit,True,True,True,True,True,False,29,427,19,45.51724137931034,3534.959456,58m 54.96s,train,True
atwt-01-23-07,explicit,True,True,True,True,True,False,21,406,17,47.38095238095238,3534.448617,58m 54.45s,train,True
atwt-01-23-08,explicit,True,True,True,True,True,False,38,329,23,40.60526315789474,3534.471837,58m 54.47s,train,True
atwt-01-23-09,explicit,True,True,True,True,True,False,27,468,13,44.2962962962963,3534.425397,58m 54.43s,val,True
atwt-01-24-03,explicit,True,True,True,True,True,True,27,407,18,47.370370370370374,3381.754195,56m 21.75s,val,True
atwt-01-24-05,explicit,False,True,True,True,True,True,28,325,18,43.357142857142854,3325.770884,55m 25.77s,nelly-excluded,False
atwt-01-24-06,explicit,True,True,True,True,True,True,28,350,18,44.785714285714285,3534.959456,58m 54.96s,val,True
atwt-01-24-07,explicit,True,True,True,True,True,True,34,441,22,43.38235294117647,3533.984218,58m 53.98s,val,True
atwt-01-24-08,explicit,True,True,True,True,True,False,31,451,17,46.225806451612904,3533.960998,58m 53.96s,train,True
atwt-01-25-05,explicit,True,True,True,True,True,True,33,384,19,43.96969696969697,2332.560544,38m 52.56s,val,True
atwt-01-25-06,explicit,True,True,True,True,True,True,29,424,21,43.758620689655174,3534.936236,58m 54.94s,val,True
atwt-01-25-07,explicit,False,True,True,True,True,True,22,443,20,46.22727272727273,3535.981134,58m 55.98s,nelly-excluded,False
atwt-01-25-08,explicit,True,True,True,True,True,False,39,396,18,42.53846153846154,3534.936236,58m 54.94s,train,True
atwt-01-25-10,explicit,True,True,True,True,True,False,24,446,20,45.916666666666664,3533.821678,58m 53.82s,train,True
atwt-01-26-04,explicit,True,True,True,True,True,True,23,385,17,45.65217391304348,3338.750839,55m 38.75s,val,True
atwt-01-26-05,explicit,True,True,True,True,True,True,25,397,19,45.6,3311.931791,55m 11.93s,val,True
atwt-01-26-06,explicit,True,True,True,True,True,False,27,382,19,43.74074074074074,3534.402177,58m 54.40s,train,True
atwt-01-26-09,explicit,True,True,True,True,True,False,22,450,13,47.22727272727273,3534.796916,58m 54.80s,val,True
atwt-01-26-10,explicit,True,True,True,True,True,False,26,454,13,45.07692307692308,3533.589478,58m 53.59s,train,True
atwt-01-27-03,explicit,True,True,True,True,True,True,29,389,17,45.55172413793103,3374.230930,56m 14.23s,val,True
atwt-01-27-04,explicit,False,True,True,True,True,True,28,378,32,44.75,3298.185578,54m 58.19s,nelly-excluded,False
atwt-01-27-05,explicit,True,True,True,True,True,True,32,420,19,44.625,2320.857687,38m 40.86s,val,True
atwt-01-27-06,explicit,True,True,True,True,True,True,21,364,22,45.476190476190474,3534.471837,58m 54.47s,val,True
atwt-01-27-09,explicit,True,True,True,True,True,False,27,507,18,45.851851851851855,3534.889796,58m 54.89s,val,True
atwt-01-27-10,explicit,True,True,True,True,True,False,29,493,12,43.96551724137931,3533.984218,58m 53.98s,train,True
atwt-01-28-03,explicit,True,True,True,True,True,True,23,319,15,46.69565217391305,3382.729433,56m 22.73s,val,True
atwt-01-28-04,explicit,False,True,True,True,True,True,31,394,26,44.38709677419355,3333.712109,55m 33.71s,nelly-excluded,False
atwt-01-28-05,explicit,True,True,True,True,True,True,30,398,18,43.166666666666664,3275.406803,54m 35.41s,val,True
atwt-01-28-08,explicit,True,True,True,True,True,False,27,340,17,42.51851851851852,3535.493515,58m 55.49s,train,True
atwt-01-28-09,explicit,True,True,True,True,True,False,23,645,13,47.43478260869565,3534.866576,58m 54.87s,val,True
atwt-01-28-10,explicit,True,True,True,True,True,False,20,519,14,48.55,3532.916100,58m 52.92s,train,True
atwt-01-29-03,explicit,True,True,True,True,True,True,20,323,17,47.15,3409.293061,56m 49.29s,val,True
atwt-01-29-07,explicit,True,True,True,True,True,True,23,433,14,47.26086956521739,3534.471837,58m 54.47s,val,True
atwt-01-29-08,explicit,True,True,True,True,True,False,37,412,19,41.432432432432435,3533.984218,58m 53.98s,train,True
atwt-01-29-09,explicit,True,True,True,True,True,False,27,444,18,46.111111111111114,3534.309297,58m 54.31s,val,True
atwt-01-29-10,explicit,True,True,True,True,True,False,26,465,17,45.57692307692308,3533.937778,58m 53.94s,train,True
atwt-01-30-03,explicit,True,True,True,True,True,True,23,329,21,45.95652173913044,3342.744671,55m 42.74s,val,True
atwt-01-30-04,explicit,False,True,True,True,True,True,26,459,17,46.03846153846154,3338.704399,55m 38.70s,nelly-excluded,False
atwt-01-30-06,explicit,False,True,True,True,True,True,34,412,20,43.35294117647059,3534.495057,58m 54.50s,nelly-excluded,False
atwt-01-30-07,explicit,True,True,True,True,True,True,22,497,21,47.81818181818182,3534.959456,58m 54.96s,val,True
atwt-01-30-08,explicit,True,True,True,True,True,False,31,380,18,43.16129032258065,3534.936236,58m 54.94s,train,True
atwt-01-30-09,explicit,True,True,True,True,True,False,20,454,13,47.6,3532.916100,58m 52.92s,val,True
atwt-01-31-03,explicit,False,True,True,True,True,True,28,354,19,44.357142857142854,3379.710839,56m 19.71s,nelly-excluded,False
atwt-01-31-05,explicit,True,True,True,True,True,True,22,405,23,47.45454545454545,2322.808163,38m 42.81s,val,True
atwt-01-31-06,explicit,True,True,True,True,True,False,29,401,16,43.758620689655174,3534.959456,58m 54.96s,train,True
atwt-01-31-07,explicit,True,True,True,True,True,True,25,409,19,45.6,3535.447075,58m 55.45s,val,True
atwt-01-31-08,explicit,True,True,True,True,True,False,34,429,19,45.35294117647059,3534.959456,58m 54.96s,train,True
atwt-02-01-05,explicit,False,True,True,True,True,True,27,422,21,45.370370370370374,3312.953469,55m 12.95s,nelly-excluded,False
atwt-02-01-06,explicit,True,True,True,True,True,False,22,477,14,46.54545454545455,3534.959456,58m 54.96s,train,True
atwt-02-01-07,explicit,True,True,True,True,True,True,19,469,16,47.473684210526315,3534.471837,58m 54.47s,val,True
atwt-02-01-08,explicit,True,True,True,True,True,False,40,362,20,42.6,3535.423855,58m 55.42s,train,True
atwt-02-01-10,explicit,True,True,True,True,True,False,23,398,10,47.391304347826086,3533.914558,58m 53.91s,train,True
atwt-02-02-04,explicit,False,True,True,True,True,True,26,352,20,43.65384615384615,3298.696417,54m 58.70s,nelly-excluded,False
atwt-02-02-05,explicit,True,True,True,True,True,True,27,409,19,45.81481481481482,3287.248980,54m 47.25s,val,True
atwt-02-02-06,explicit,True,True,True,True,True,False,24,322,14,45.458333333333336,3534.425397,58m 54.43s,train,True
atwt-02-02-07,explicit,True,True,True,True,True,False,28,387,17,44.67857142857143,3534.982676,58m 54.98s,train,True
atwt-02-02-09,explicit,True,True,True,True,True,False,24,530,17,46.5,3534.425397,58m 54.43s,val,True
atwt-02-02-10,explicit,True,True,True,True,True,False,30,486,19,44.0,3533.984218,58m 53.98s,train,True
atwt-02-03-03,explicit,True,True,False,False,True,True,21,390,13,46.476190476190474,3423.317914,57m 3.32s,val,True
atwt-02-03-04,explicit,False,True,True,True,True,True,30,344,25,43.4,3333.897868,55m 33.90s,nelly-excluded,False
atwt-02-03-05,explicit,True,True,True,True,True,True,30,436,21,46.43333333333333,2332.514104,38m 52.51s,val,True
atwt-02-03-06,explicit,True,True,True,True,True,True,26,414,20,45.26923076923077,3535.516735,58m 55.52s,val,True
atwt-02-03-09,explicit,True,True,True,True,True,False,28,498,23,47.5,3534.866576,58m 54.87s,val,True
atwt-02-03-10,explicit,False,True,True,True,True,False,25,402,11,43.76,3533.937778,58m 53.94s,nelly-excluded,False
atwt-02-04-03,explicit,True,True,False,False,True,True,22,411,17,47.90909090909091,3380.732517,56m 20.73s,val,True
atwt-02-04-04,explicit,True,True,True,True,True,True,26,347,21,44.53846153846154,3333.897868,55m 33.90s,val,True
atwt-02-04-05,explicit,True,True,True,True,True,True,26,432,16,46.0,3327.256961,55m 27.26s,val,True
atwt-02-04-08,explicit,True,True,True,True,True,False,36,494,21,44.333333333333336,3534.936236,58m 54.94s,train,True
atwt-02-04-09,explicit,True,True,True,True,True,False,33,565,14,44.81818181818182,3535.330975,58m 55.33s,val,True
atwt-02-04-10,explicit,True,True,True,True,True,False,26,428,14,43.19230769230769,3534.471837,58m 54.47s,train,True
atwt-02-05-03,explicit,True,True,False,False,True,True,25,382,18,45.12,3341.212154,55m 41.21s,val,True
atwt-02-05-04,explicit,True,True,True,True,True,True,29,379,17,44.724137931034484,3338.402540,55m 38.40s,val,True
atwt-02-05-07,explicit,True,True,True,True,True,False,20,471,19,46.4,3534.448617,58m 54.45s,train,True
atwt-02-05-08,explicit,True,True,True,True,True,False,44,323,20,38.04545454545455,3534.936236,58m 54.94s,train,True
atwt-02-05-09,explicit,True,True,True,True,True,False,23,454,17,49.0,3533.891338,58m 53.89s,val,True
atwt-02-06-03,explicit,True,True,False,False,True,True,10,155,15,46.6,3380.732517,56m 20.73s,val,True
atwt-02-06-04,explicit,True,True,True,True,True,True,28,298,22,43.25,3339.400998,55m 39.40s,val,True
atwt-02-06-06,explicit,False,True,True,True,True,True,23,464,20,46.65217391304348,3534.495057,58m 54.50s,nelly-excluded,False
atwt-02-06-07,explicit,True,True,True,True,True,False,27,442,16,43.851851851851855,3534.936236,58m 54.94s,train,True
atwt-02-06-08,explicit,True,True,True,True,True,False,47,349,22,41.40425531914894,3535.957914,58m 55.96s,train,True
atwt-02-06-09,explicit,True,True,True,True,True,False,33,662,18,45.06060606060606,3534.332517,58m 54.33s,val,True
atwt-02-07-03,explicit,True,True,False,False,True,True,25,350,17,46.2,3387.280544,56m 27.28s,val,True
atwt-02-07-05,explicit,True,True,True,True,True,True,33,478,23,44.24242424242424,3328.232200,55m 28.23s,val,True
atwt-02-07-06,explicit,True,True,True,True,True,True,26,460,22,46.0,3532.916100,58m 52.92s,val,True
atwt-02-07-07,explicit,True,True,True,True,True,False,29,575,25,45.3448275862069,3535.493515,58m 55.49s,train,True
atwt-02-07-08,explicit,True,True,True,True,True,False,31,404,21,43.70967741935484,3533.984218,58m 53.98s,train,True
atwt-02-08-05,explicit,True,True,True,True,True,True,30,403,24,44.733333333333334,3326.258503,55m 26.26s,val,True
atwt-02-08-06,explicit,True,True,True,True,True,True,26,380,17,45.11538461538461,3534.425397,58m 54.43s,val,True
atwt-02-08-08,explicit,True,True,True,True,True,False,50,378,23,41.16,3535.934694,58m 55.93s,train,True
atwt-02-08-10,explicit,True,True,True,True,True,False,22,428,15,45.54545454545455,3533.403719,58m 53.40s,train,True
atwt-02-09-04,explicit,True,True,True,True,True,False,27,353,17,44.81481481481482,3338.890159,55m 38.89s,train,True
atwt-02-09-05,explicit,True,True,True,True,True,True,26,405,21,45.76923076923077,3329.787937,55m 29.79s,val,True
atwt-02-09-06,explicit,True,True,True,True,True,True,22,427,18,46.13636363636363,3534.448617,58m 54.45s,val,True
atwt-02-09-07,explicit,True,True,True,True,True,True,38,521,30,43.73684210526316,3535.957914,58m 55.96s,val,True
atwt-02-09-09,explicit,True,True,True,True,True,False,30,432,11,44.13333333333333,3535.330975,58m 55.33s,val,True
atwt-02-09-10,explicit,True,True,True,True,True,False,25,381,14,47.04,3533.334059,58m 53.33s,train,True
atwt-02-10-03,explicit,True,True,True,True,True,True,25,404,18,46.72,3381.243356,56m 21.24s,val,True
atwt-02-10-04,explicit,True,True,True,True,True,False,24,349,19,45.458333333333336,3338.890159,55m 38.89s,train,True
atwt-02-10-05,explicit,True,True,True,True,True,True,26,419,21,46.07692307692308,3286.691701,54m 46.69s,val,True
atwt-02-10-06,explicit,False,True,True,True,True,True,32,403,21,43.96875,3533.984218,58m 53.98s,nelly-excluded,False
atwt-02-10-09,explicit,True,True,True,True,True,False,22,488,21,46.18181818181818,3534.402177,58m 54.40s,val,True
atwt-02-11-03,explicit,True,True,True,True,True,True,19,340,14,46.473684210526315,3381.382676,56m 21.38s,val,True
atwt-02-11-04,explicit,True,True,True,True,True,False,23,368,20,46.69565217391305,3298.858957,54m 58.86s,train,True
atwt-02-11-05,explicit,True,True,True,True,True,True,27,500,23,46.44444444444444,3327.744580,55m 27.74s,val,True
atwt-02-11-08,explicit,True,True,True,True,True,False,28,424,24,46.714285714285715,3534.959456,58m 54.96s,train,True
atwt-02-11-10,explicit,True,True,True,True,True,False,26,409,15,45.26923076923077,3533.357279,58m 53.36s,train,True
atwt-02-12-03,explicit,False,True,True,True,True,True,23,362,17,46.04347826086956,3316.041723,55m 16.04s,nelly-excluded,False
atwt-02-12-04,explicit,False,True,True,True,True,False,26,289,24,45.92307692307692,3338.890159,55m 38.89s,nelly-excluded,False
atwt-02-12-07,explicit,True,True,True,True,True,True,29,490,22,44.13793103448276,3534.471837,58m 54.47s,val,True
atwt-02-12-08,explicit,True,True,True,True,True,False,36,455,25,43.388888888888886,3534.959456,58m 54.96s,train,True
atwt-02-12-09,explicit,False,True,True,True,True,False,24,518,16,46.541666666666664,3534.843356,58m 54.84s,nelly-excluded,False
atwt-02-12-10,explicit,True,True,True,True,True,False,25,464,12,46.12,3533.844898,58m 53.84s,train,True
atwt-02-13-03,explicit,False,True,True,True,True,False,9,119,10,45.44444444444444,3314.602086,55m 14.60s,nelly-excluded,False
atwt-02-13-04,explicit,False,True,True,True,True,False,36,333,27,43.111111111111114,3334.385488,55m 34.39s,nelly-excluded,False
atwt-02-13-06,explicit,True,True,True,True,True,False,27,378,18,46.592592592592595,3534.448617,58m 54.45s,train,True
atwt-02-13-07,explicit,True,True,True,True,True,True,23,402,17,45.91304347826087,3534.425397,58m 54.43s,val,True
atwt-02-13-08,explicit,True,True,True,True,True,False,37,413,20,42.891891891891895,3534.959456,58m 54.96s,train,True
atwt-02-13-09,explicit,False,True,True,True,True,False,23,511,13,46.26086956521739,3535.423855,58m 55.42s,nelly-excluded,False
atwt-02-14-03,explicit,True,True,True,True,True,True,24,334,15,44.541666666666664,3275.035283,54m 35.04s,val,True
atwt-02-14-05,explicit,True,True,True,True,True,True,30,434,27,46.46666666666667,3326.746122,55m 26.75s,val,True
atwt-02-14-06,explicit,False,True,True,True,True,True,29,357,21,45.10344827586207,3534.495057,58m 54.50s,nelly-excluded,False
atwt-02-14-07,explicit,True,True,True,True,True,True,30,368,18,42.43333333333333,3534.495057,58m 54.50s,train,True
atwt-02-14-08,explicit,True,True,True,True,True,False,15,287,30,50.266666666666666,3535.934694,58m 55.93s,train,True
atwt-02-15-05,explicit,False,True,True,True,True,True,22,440,28,48.5,3327.233741,55m 27.23s,nelly-excluded,False
atwt-02-15-06,explicit,True,True,True,True,True,True,24,431,13,47.416666666666664,3535.423855,58m 55.42s,train,True
atwt-02-15-07,explicit,True,True,True,True,True,True,22,410,16,46.0,3534.471837,58m 54.47s,train,True
